"nome","nome-2","formaFarmaceutica","unidade","apresentacao","controlado","classificacao","via"
"Equino","17 Beta - 0%, frasco-ampola","Solução Injetável","mL","Frasco-ampola",False,"Hormônio","IM"
"Equino","A-D-E Injetável Emulsificável - frasco 250 mL","Solução Injetável","mL","Frasco",False,"Suplemento","SC"
"Equino","A-D-E Injetável Emulsificável - frasco 250 mL","Solução Injetável","mL","Frasco",False,"Suplemento","IM"
"Equino","A-D-E Injetável Emulsificável - frasco 50 mL","Solução Injetável","mL","Frasco",False,"Suplemento","IM"
"Equino","A-D-E Injetável Emulsificável - frasco 50 mL","Solução Injetável","mL","Frasco",False,"Suplemento","SC"
"Equino","A D E - Pó - balde 10 kg","Pó","kg","Balde",False,"Suplemento","Oral"
"Equino","A D E - Pó - balde 20 kg","Pó","kg","Balde",False,"Suplemento","Oral"
"Equino","A D E - Pó - balde 5 kg","Pó","kg","Balde",False,"Suplemento","Oral"
"Equino","A D E - Pó - saco 0.5 kg","Pó","kg","Saco",False,"Suplemento","Oral"
"Equino","A D E - Pó - saco 1 kg","Pó","kg","Saco",False,"Suplemento","Oral"
"Equino","A D E - Pó - saco 1.5 kg","Pó","kg","Saco",False,"Suplemento","Oral"
"Equino","A.D.E Pó Premix - balde 1 kg","Pó","kg","Balde",False,"Suplemento","Oral"
"Equino","A.D.E Pó Premix - balde 20 kg","Pó","kg","Balde",False,"Suplemento","Oral"
"Equino","A.D.E Pó Premix - balde 5 kg","Pó","kg","Balde",False,"Suplemento","Oral"
"Equino","A.D.E Pó Premix - sachê 100 g","Pó","g","Sachê",False,"Suplemento","Oral"
"Equino","A.D.E Prado - frasco 10 mL","Solução Injetável","mL","Frasco",False,"Suplemento","SC"
"Equino","A.D.E Prado - frasco 10 mL","Solução Injetável","mL","Frasco",False,"Suplemento","IM"
"Equino","A.D.E Prado - frasco 50 mL","Solução Injetável","mL","Frasco",False,"Suplemento","IM"
"Equino","A.D.E Prado - frasco 50 mL","Solução Injetável","mL","Frasco",False,"Suplemento","SC"
"Equino","Aba Gel Composto - seringa 9.6 g","Pasta","g","Seringa",False,"Endoparasiticida","Oral"
"Equino","Abrilhantador Calbos - frasco 1 L","Solução Tópica","L","Frasco",False,"Estética","Tópica"
"Equino","Abrilhantador Calbos - frasco 500 mL","Solução Tópica","mL","Frasco",False,"Estética","Tópica"
"Equino","Absorbine® Liniment Veterinary Gel","Gel","g","",False,"Relaxante Muscular","Tópica"
"Equino","Absorbine® Liniment Veterinary Liquido - frasco 475 mL","Solução Tópica","mL","Frasco",False,"Relaxante Muscular","Tópica"
"Equino","Absorvit - embalagem 2 kg","Pó","kg","Embalagem",False,"Aditivo","Oral"
"Equino","Acepran® 1% - frasco-ampola 20 mL","Solução Injetável","mL","Frasco-ampola",True,"Sedativo","IV"
"Equino","Acepran® 1% - frasco-ampola 20 mL","Solução Injetável","mL","Frasco-ampola",True,"Sedativo","SC"
"Equino","Acepran® 1% - frasco-ampola 20 mL","Solução Injetável","mL","Frasco-ampola",True,"Sedativo","IM"
"Equino","Aceproven Injetável - frasco-ampola 20 mL","Solução Injetável","mL","Frasco-ampola",True,"Tranquilizante","SC"
"Equino","Aceproven Injetável - frasco-ampola 20 mL","Solução Injetável","mL","Frasco-ampola",True,"Tranquilizante","IM"
"Equino","Aceproven Injetável - frasco-ampola 20 mL","Solução Injetável","mL","Frasco-ampola",True,"Tranquilizante","IV"
"Equino","Aceproven Injetável - frasco-ampola 50 mL","Solução Injetável","mL","Frasco-ampola",True,"Tranquilizante","IV"
"Equino","Aceproven Injetável - frasco-ampola 50 mL","Solução Injetável","mL","Frasco-ampola",True,"Tranquilizante","SC"
"Equino","Aceproven Injetável - frasco-ampola 50 mL","Solução Injetável","mL","Frasco-ampola",True,"Tranquilizante","IM"
"Equino","Acetato de Deslorelina - Sincrorrelin","Solução Injetável","mL","",False,"Hormônio","IM"
"Equino","Acetato de Deslorelina - Sincrorrelin","Solução Injetável","mL","",False,"Hormônio","SC"
"Equino","Acetato de Desmopressina - ampola","Solução Injetável","mL","Ampola",False,"Hormônio","EV"
"Equino","Acetato de Retinol - ampola","Solução Injetável","mL","Ampola",False,"Suplemento","IM"
"Equino","Acetato de Retinol - ampola","Solução Injetável","mL","Ampola",False,"Suplemento","SC"
"Equino","Acetato de Retinol - ampola","Solução Injetável","mL","Ampola",False,"Suplemento","Oral"
"Equino","Acetato de Retinol - drágea","Drágea","mL","Drágea",False,"Suplemento","Oral"
"Equino","Acetato de Retinol - drágea","Drágea","mL","Drágea",False,"Suplemento","IM"
"Equino","Acetato de Retinol - drágea","Drágea","mL","Drágea",False,"Suplemento","SC"
"Equino","Acetato de Retinol - frasco 20 mL","Solução Injetável","mL","Frasco",False,"Suplemento","IM"
