especie,nome-2,formaFarmaceutica,unidade,apresentacao,controlado,classificacao,via,motivo_conflito
Equino,Abrilhantador Calbos - frasco 1 L,Solução Tópica,L,Frasco de 1 L,False,Cosmético,Tópica,"CROSS_ESPECIE(classificacao: Equino=""Cosmético"" x Bovino=""Estética"")"
Bovino,Abrilhantador Calbos - frasco 1 L,Solução Tópica,L,Frasco de 1 L,False,Estética,Tópica,"CROSS_ESPECIE(classificacao: Equino=""Cosmético"" x Bovino=""Estética"")"
Equino,Abrilhantador Calbos - frasco 500 mL,Solução Tópica,mL,Frasco de 500 mL,False,Cosmético,Tópica,"CROSS_ESPECIE(classificacao: Equino=""Cosmético"" x Bovino=""Estética"")"
Bovino,Abrilhantador Calbos - frasco 500 mL,Solução Tópica,mL,Frasco de 500 mL,False,Estética,Tópica,"CROSS_ESPECIE(classificacao: Equino=""Cosmético"" x Bovino=""Estética"")"
Equino,Absorvit - embalagem 2 kg,Pó,kg,Pote de 2 kg,False,Suplemento Vitamínico Mineral,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Pote de 2 kg"" x Bovino=""Embalagem de 2 kg"") | CROSS_ESPECIE(classificacao: Equino=""Suplemento Vitamínico Mineral"" x Bovino=""Aditivo Alimentar"")"
Bovino,Absorvit - embalagem 2 kg,Pó,kg,Embalagem de 2 kg,False,Aditivo Alimentar,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Pote de 2 kg"" x Bovino=""Embalagem de 2 kg"") | CROSS_ESPECIE(classificacao: Equino=""Suplemento Vitamínico Mineral"" x Bovino=""Aditivo Alimentar"")"
Equino,Aceproven Injetável - frasco-ampola 20 mL,Solução Injetável,mL,Frasco-ampola de 20 mL,False,Tranquilizante,IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")"
Equino,Aceproven Injetável - frasco-ampola 20 mL,Solução Injetável,mL,Frasco-ampola de 20 mL,False,Tranquilizante,IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")"
Equino,Aceproven Injetável - frasco-ampola 20 mL,Solução Injetável,mL,Frasco-ampola de 20 mL,False,Tranquilizante,IV,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")"
Bovino,Aceproven Injetável - frasco-ampola 20 mL,Solução Injetável,mL,Frasco-ampola de 20 mL,True,Tranquilizante,IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")"
Bovino,Aceproven Injetável - frasco-ampola 20 mL,Solução Injetável,mL,Frasco-ampola de 20 mL,True,Tranquilizante,IV,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")"
Bovino,Aceproven Injetável - frasco-ampola 20 mL,Solução Injetável,mL,Frasco-ampola de 20 mL,True,Tranquilizante,IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")"
Equino,Aceproven Injetável - frasco-ampola 50 mL,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Tranquilizante,IV,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")"
Equino,Aceproven Injetável - frasco-ampola 50 mL,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Tranquilizante,IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")"
Equino,Aceproven Injetável - frasco-ampola 50 mL,Solução Injetável,mL,Frasco-ampola de 50 mL,False,Tranquilizante,IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")"
Bovino,Aceproven Injetável - frasco-ampola 50 mL,Solução Injetável,mL,Frasco-ampola de 50 mL,True,Tranquilizante,IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")"
Bovino,Aceproven Injetável - frasco-ampola 50 mL,Solução Injetável,mL,Frasco-ampola de 50 mL,True,Tranquilizante,IV,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")"
Bovino,Aceproven Injetável - frasco-ampola 50 mL,Solução Injetável,mL,Frasco-ampola de 50 mL,True,Tranquilizante,IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")"
Equino,Acetato de Retinol - ampola,Solução Injetável,mL,Ampola de 2 mL,False,Suplemento Vitamínico,IM,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 2 mL"" x Bovino=""Ampola"")"
Equino,Acetato de Retinol - ampola,Solução Injetável,mL,Ampola de 2 mL,False,Suplemento Vitamínico,IM,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 2 mL"" x Bovino=""Ampola"")"
Equino,Acetato de Retinol - ampola,Solução Injetável,mL,Ampola de 2 mL,False,Suplemento Vitamínico,IM,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 2 mL"" x Bovino=""Ampola"")"
Bovino,Acetato de Retinol - ampola,Solução Injetável,mL,Ampola,False,Suplemento Vitamínico,IM,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 2 mL"" x Bovino=""Ampola"")"
Bovino,Acetato de Retinol - ampola,Solução Injetável,mL,Ampola,False,Suplemento Vitamínico,SC,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 2 mL"" x Bovino=""Ampola"")"
Bovino,Acetato de Retinol - ampola,Solução Injetável,mL,Ampola,False,Suplemento Vitamínico,IM,"CROSS_ESPECIE(apresentacao: Equino=""Ampola de 2 mL"" x Bovino=""Ampola"")"
Equino,Acetato de Retinol - drágea,Drágea,unidade,Drágea,False,Suplemento Vitamínico,Oral,"CROSS_ESPECIE(unidade: Equino=""unidade"" x Bovino=""g"")"
