nome,nome-2,formaFarmaceutica,unidade,apresentacao,controlado,classificacao,via,precisa_revisao,motivos_revisao,validacao,Espécie,Medicamento
Bovino,A-D-E Injetável Emulsificável - frasco 250 mL,Emulsão Injetável,mL,Frasco de 250 mL,False,Suplemento Vitamínico,IM Profunda,False,Validação completa via API,Feito o ajuste,Bovino,"A-D-E Injetável Emulsificável (Vitaminas A, D e E)"
Bovino,A-D-E Injetável Emulsificável - frasco 250 mL,Emulsão Injetável,mL,Frasco de 250 mL,False,Suplemento Vitamínico,SC,False,Validação completa via API,Feito o ajuste,Bovino,"A-D-E Injetável Emulsificável (Vitaminas A, D e E)"
Bovino,A-D-E Injetável Emulsificável - frasco 50 mL,Emulsão Injetável,mL,Frasco de 50 mL,False,Suplemento Vitamínico,SC,False,Validação completa via API,Feito o ajuste,Bovino,"A-D-E Injetável Emulsificável (Vitaminas A, D e E)"
Bovino,A-D-E Injetável Emulsificável - frasco 50 mL,Emulsão Injetável,mL,Frasco de 50 mL,False,Suplemento Vitamínico,IM Profunda,False,Validação completa via API,Feito o ajuste,Bovino,"A-D-E Injetável Emulsificável (Vitaminas A, D e E)"
Bovino,A D E - Pó - balde 10 kg,Pó,kg,Balde de 10 kg,False,Suplemento Vitamínico,Oral,False,Validação completa via API,Feito o ajuste,Bovino,A D E Pó
Bovino,A D E - Pó - balde 20 kg,Pó,kg,Balde de 20 kg,False,Suplemento Vitamínico,Oral,False,Validação completa via API,Feito o ajuste,Bovino,A D E Pó
Bovino,A D E - Pó - balde 5 kg,Pó,kg,Balde de 5 kg,False,Suplemento Vitamínico,Oral,False,Validação completa via API,Feito o ajuste,Bovino,A D E Pó
Bovino,A D E - Pó - saco 0.5 kg,Pó,kg,Saco de 0.5 kg,False,Suplemento Vitamínico,Oral,False,Validação completa via API,Feito o ajuste,Bovino,A D E Pó
Bovino,A D E - Pó - saco 1 kg,Pó,kg,Saco de 1 kg,False,Suplemento Vitamínico,Oral,False,Validação completa via API,Feito o ajuste,Bovino,A D E Pó
Bovino,A D E - Pó - saco 1.5 kg,Pó,kg,Saco de 1.5 kg,False,Suplemento Vitamínico,Oral,False,Validação completa via API,Feito o ajuste,Bovino,A D E Pó
Bovino,A.D.E Pó Premix - balde 1 kg,Pó,kg,Balde de 1 kg,False,Suplemento Vitamínico,Oral,False,Validação completa via API,Feito o ajuste,Bovino,A.D.E Pó Premix
Bovino,A.D.E Pó Premix - balde 20 kg,Pó,kg,Balde de 20 kg,False,Suplemento Vitamínico,Oral,False,Validação completa via API,Feito o ajuste,Bovino,A.D.E Pó Premix
Bovino,A.D.E Pó Premix - balde 5 kg,Pó,kg,Balde de 5 kg,False,Suplemento Vitamínico,Oral,False,Validação completa via API,Feito o ajuste,Bovino,A.D.E Pó Premix
Bovino,A.D.E Pó Premix - sachê 100 g,Pó,g,Sachê de 100 g,False,Suplemento Vitamínico,Oral,False,Validação completa via API,Feito o ajuste,Bovino,A.D.E Pó Premix
Bovino,A.D.E Prado - frasco 10 mL,Solução Injetável,mL,Frasco de 10 mL,False,Suplemento Vitamínico,IM Profunda,False,Validação completa via API,Feito o ajuste,Bovino,A.D.E Prado
Bovino,A.D.E Prado - frasco 10 mL,Solução Injetável,mL,Frasco de 10 mL,False,Suplemento Vitamínico,SC,False,Validação completa via API,Feito o ajuste,Bovino,A.D.E Prado
Bovino,A.D.E Prado - frasco 50 mL,Solução Injetável,mL,Frasco de 50 mL,False,Suplemento Vitamínico,SC,False,Validação completa via API,Feito o ajuste,Bovino,A.D.E Prado
Bovino,A.D.E Prado - frasco 50 mL,Solução Injetável,mL,Frasco de 50 mL,False,Suplemento Vitamínico,IM Profunda,False,Validação completa via API,Feito o ajuste,Bovino,A.D.E Prado
Bovino,Abactin Pour On - frasco aplicador graduado 1 L,Solução Tópica (Pour-On),L,Frasco aplicador de 1 L,False,Endectoparasiticida,Tópica,False,Validação completa via API,Feito o ajuste,Bovino,Abactin Pour On (Abamectina)
Bovino,Abamectan - frasco-ampola 500 mL,Solução Injetável,mL,Frasco-ampola de 500 mL,False,Endectoparasiticida,SC,False,Validação completa via API,Feito o ajuste,Bovino,Abamectan (Abamectina 1%)
Bovino,Abamectina - Aba Gel Composto,Pasta Oral,g,Seringa,False,Endectoparasiticida,Oral,False,Validação completa via API,Feito o ajuste,Equino,Aba Gel Composto (Abamectina + Praziquantel)
Bovino,Abamectina - Aba Gel Composto,Pasta Oral,g,Seringa,False,Endectoparasiticida,Oral,False,Validação completa via API,Feito o ajuste,Equino,Aba Gel Composto (Abamectina + Praziquantel)
Bovino,Abamectina - Abactin Pour On,Solução Tópica (Pour-On),L,Frasco aplicador,False,Endectoparasiticida,Tópica,False,Validação completa via API,Feito o ajuste,Bovino,Abactin Pour On (Abamectina)
Bovino,Abamectina - Abactin Pour On,Solução Tópica (Pour-On),L,Frasco aplicador,False,Endectoparasiticida,Tópica,False,Validação completa via API,Feito o ajuste,Bovino,Abactin Pour On (Abamectina)
Bovino,Abamectina - Abamectan,Solução Injetável,mL,Frasco-ampola,False,Endectoparasiticida,SC,False,Validação completa via API,Feito o ajuste,Bovino,Abamectan (Abamectina 1%)
Bovino,Abamectina - Abamectan,Solução Injetável,mL,Frasco-ampola,False,Endectoparasiticida,SC,False,Validação completa via API,Feito o ajuste,Bovino,Abamectan (Abamectina 1%)
