nome,nome-2,formaFarmaceutica,unidade,apresentacao,controlado,classificacao,via,precisa_revisao,motivos_revisao,validacao,Espécie,Medicamento
Equino,"17 Beta - 0%, frasco-ampola",Solução Injetável,mL,Frasco-ampola de 50 mL,False,Hormônio,IM,False,Validação completa via API,Feito o ajuste,Equino,17 Beta (Benzoato de Estradiol)
Equino,A-D-E Injetável Emulsificável - frasco 250 mL,Emulsão Injetável,mL,Frasco de 250 mL,False,Suplemento Vitamínico,IM,False,Validação completa via API,Feito o ajuste,Equino,"A-D-E Injetável Emulsificável (Vitaminas A, D e E)"
Equino,A-D-E Injetável Emulsificável - frasco 250 mL,Emulsão Injetável,mL,Frasco de 250 mL,False,Suplemento Vitamínico,IM,False,Validação completa via API,Feito o ajuste,Equino,"A-D-E Injetável Emulsificável (Vitaminas A, D e E)"
Equino,A-D-E Injetável Emulsificável - frasco 50 mL,Emulsão Injetável,mL,Frasco de 50 mL,False,Suplemento Vitamínico,IM,False,Validação completa via API,Feito o ajuste,Equino,"A-D-E Injetável Emulsificável (Vitaminas A, D e E)"
Equino,A-D-E Injetável Emulsificável - frasco 50 mL,Emulsão Injetável,mL,Frasco de 50 mL,False,Suplemento Vitamínico,IM,False,Validação completa via API,Feito o ajuste,Equino,"A-D-E Injetável Emulsificável (Vitaminas A, D e E)"
Equino,A D E - Pó - balde 10 kg,Pó,kg,Balde de 10 kg,False,Suplemento Vitamínico,Oral,False,Validação completa via API,Feito o ajuste,Equino,"A D E Pó (Vitaminas A, D e E)"
Equino,A D E - Pó - balde 20 kg,Pó,kg,Balde de 20 kg,False,Suplemento Vitamínico,Oral,False,Validação completa via API,Feito o ajuste,Equino,"A D E Pó (Vitaminas A, D e E)"
Equino,A D E - Pó - balde 5 kg,Pó,kg,Balde de 5 kg,False,Suplemento Vitamínico,Oral,False,Validação completa via API,Feito o ajuste,Equino,"A D E Pó (Vitaminas A, D e E)"
Equino,A D E - Pó - saco 0.5 kg,Pó,kg,Saco de 0.5 kg,False,Suplemento Vitamínico,Oral,False,Validação completa via API,Feito o ajuste,Equino,"A D E Pó (Vitaminas A, D e E)"
Equino,A D E - Pó - saco 1 kg,Pó,kg,Saco de 1 kg,False,Suplemento Vitamínico,Oral,False,Validação completa via API,Feito o ajuste,Equino,"A D E Pó (Vitaminas A, D e E)"
Equino,A D E - Pó - saco 1.5 kg,Pó,kg,Saco de 1.5 kg,False,Suplemento Vitamínico,Oral,False,Validação completa via API,Feito o ajuste,Equino,"A D E Pó (Vitaminas A, D e E)"
Equino,A.D.E Pó Premix - balde 1 kg,Pó,kg,Balde de 1 kg,False,Suplemento Vitamínico,Oral,False,Validação completa via API,Feito o ajuste,Equino,"A.D.E. Pó Premix (Vitaminas A, D e E)"
Equino,A.D.E Pó Premix - balde 20 kg,Pó,kg,Balde de 20 kg,False,Suplemento Vitamínico,Oral,False,Validação completa via API,Feito o ajuste,Equino,"A.D.E. Pó Premix (Vitaminas A, D e E)"
Equino,A.D.E Pó Premix - balde 5 kg,Pó,kg,Balde de 5 kg,False,Suplemento Vitamínico,Oral,False,Validação completa via API,Feito o ajuste,Equino,"A.D.E. Pó Premix (Vitaminas A, D e E)"
Equino,A.D.E Pó Premix - sachê 100 g,Pó,g,Sachê de 100 g,False,Suplemento Vitamínico,Oral,False,Validação completa via API,Feito o ajuste,Equino,"A.D.E. Pó Premix (Vitaminas A, D e E)"
Equino,A.D.E Prado - frasco 10 mL,Solução Injetável,mL,Frasco de 10 mL,False,Suplemento Vitamínico,IM,False,Validação completa via API,Feito o ajuste,Equino,"A.D.E. Prado (Vitaminas A, D e E)"
Equino,A.D.E Prado - frasco 10 mL,Solução Injetável,mL,Frasco de 10 mL,False,Suplemento Vitamínico,IM,False,Validação completa via API,Feito o ajuste,Equino,"A.D.E. Prado (Vitaminas A, D e E)"
Equino,A.D.E Prado - frasco 50 mL,Solução Injetável,mL,Frasco de 50 mL,False,Suplemento Vitamínico,IM,False,Validação completa via API,Feito o ajuste,Equino,"A.D.E. Prado (Vitaminas A, D e E)"
