especie,nome-2,formaFarmaceutica,unidade,apresentacao,controlado,classificacao,via,motivo_conflito,precisa_revisao,motivos_revisao,validacao,diferenca_justificada
Equino,Abrilhantador Calbos - frasco 1 L,Solução Tópica,L,Frasco de 1 L,False,Cosmético,Tópica,"CROSS_ESPECIE(classificacao: Equino=""Cosmético"" x Bovino=""Estética"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Abrilhantador Calbos - frasco 1 L,Solução Tópica,L,Frasco de 1 L,False,Cosmético,Tópica,"CROSS_ESPECIE(classificacao: Equino=""Cosmético"" x Bovino=""Estética"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Abrilhantador Calbos - frasco 500 mL,Solução Tópica,mL,Frasco de 500 mL,False,Cosmético,Tópica,"CROSS_ESPECIE(classificacao: Equino=""Cosmético"" x Bovino=""Estética"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Abrilhantador Calbos - frasco 500 mL,Solução Tópica,mL,Frasco de 500 mL,False,Cosmético,Tópica,"CROSS_ESPECIE(classificacao: Equino=""Cosmético"" x Bovino=""Estética"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Absorvit - embalagem 2 kg,Pó,kg,Pote de 2 kg,False,Suplemento Vitamínico Mineral,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Pote de 2 kg"" x Bovino=""Embalagem de 2 kg"") | CROSS_ESPECIE(classificacao: Equino=""Suplemento Vitamínico Mineral"" x Bovino=""Aditivo Alimentar"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Absorvit - embalagem 2 kg,Pó,kg,Pote de 2 kg,False,Suplemento Vitamínico Mineral,Oral,"CROSS_ESPECIE(apresentacao: Equino=""Pote de 2 kg"" x Bovino=""Embalagem de 2 kg"") | CROSS_ESPECIE(classificacao: Equino=""Suplemento Vitamínico Mineral"" x Bovino=""Aditivo Alimentar"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Aceproven Injetável - frasco-ampola 20 mL,Solução Injetável,mL,Frasco-ampola de 20 mL,False,Tranquilizante,IV ou IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Aceproven Injetável - frasco-ampola 20 mL,Solução Injetável,mL,Frasco-ampola de 20 mL,False,Tranquilizante,IV ou IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Equino,Aceproven Injetável - frasco-ampola 20 mL,Solução Injetável,mL,Frasco-ampola de 20 mL,False,Tranquilizante,IV ou IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
Bovino,Aceproven Injetável - frasco-ampola 20 mL,Solução Injetável,mL,Frasco-ampola de 20 mL,False,Tranquilizante,IV ou IM,"CROSS_ESPECIE(controlado: Equino=""false"" x Bovino=""true"")",False,Conflito resolvido via API (agrupado por medicamento),Feito o ajuste,Nenhuma - padronizado
