"nome","nome-2","formaFarmaceutica","unidade","apresentacao","controlado","classificacao","via"
"Bovino","A-D-E Injetável Emulsificável - frasco 250 mL","Solução Injetável","mL","Frasco",False,"Suplemento","IM"
"Bovino","A-D-E Injetável Emulsificável - frasco 250 mL","Solução Injetável","mL","Frasco",False,"Suplemento","SC"
"Bovino","A-D-E Injetável Emulsificável - frasco 50 mL","Solução Injetável","mL","Frasco",False,"Suplemento","SC"
"Bovino","A-D-E Injetável Emulsificável - frasco 50 mL","Solução Injetável","mL","Frasco",False,"Suplemento","IM"
"Bovino","A D E - Pó - balde 10 kg","Pó","kg","Balde",False,"Suplemento","Oral"
"Bovino","A D E - Pó - balde 20 kg","Pó","kg","Balde",False,"Suplemento","Oral"
"Bovino","A D E - Pó - balde 5 kg","Pó","kg","Balde",False,"Suplemento","Oral"
"Bovino","A D E - Pó - saco 0.5 kg","Pó","kg","Saco",False,"Suplemento","Oral"
"Bovino","A D E - Pó - saco 1 kg","Pó","kg","Saco",False,"Suplemento","Oral"
"Bovino","A D E - Pó - saco 1.5 kg","Pó","kg","Saco",False,"Suplemento","Oral"
"Bovino","A.D.E Pó Premix - balde 1 kg","Pó","kg","Balde",False,"Suplemento","Oral"
"Bovino","A.D.E Pó Premix - balde 20 kg","Pó","kg","Balde",False,"Suplemento","Oral"
"Bovino","A.D.E Pó Premix - balde 5 kg","Pó","kg","Balde",False,"Suplemento","Oral"
"Bovino","A.D.E Pó Premix - sachê 100 g","Pó","g","Sachê",False,"Suplemento","Oral"
"Bovino","A.D.E Prado - frasco 10 mL","Solução Injetável","mL","Frasco",False,"Suplemento","IM"
"Bovino","A.D.E Prado - frasco 10 mL","Solução Injetável","mL","Frasco",False,"Suplemento","SC"
"Bovino","A.D.E Prado - frasco 50 mL","Solução Injetável","mL","Frasco",False,"Suplemento","SC"
"Bovino","A.D.E Prado - frasco 50 mL","Solução Injetável","mL","Frasco",False,"Suplemento","IM"
"Bovino","Abactin Pour On - frasco aplicador graduado 1 L","Solução Tópica (Pour-On)","L","Frasco aplicador",False,"Endectoparasiticida","Pour On"
"Bovino","Abamectan - frasco-ampola 500 mL","Solução Injetável","mL","Frasco-ampola",False,"Endectoparasiticida","SC"
"Bovino","Abamectina - Aba Gel Composto","Pasta","g","",False,"Endoparasiticida","Tópica"
"Bovino","Abamectina - Aba Gel Composto","Pasta","g","",False,"Endoparasiticida","SC"
"Bovino","Abamectina - Abactin Pour On","Solução Tópica (Pour-On)","L","Pour-On",False,"Endoparasiticida","SC"
"Bovino","Abamectina - Abactin Pour On","Solução Tópica (Pour-On)","L","Pour-On",False,"Endoparasiticida","Tópica"
"Bovino","Abamectina - Abamectan","Solução Injetável","mL","",False,"Endoparasiticida","SC"
"Bovino","Abamectina - Abamectan","Solução Injetável","mL","",False,"Endoparasiticida","Tópica"
"Bovino","Abamectina - Abamectina Allvet Injetável","Solução Injetável","mL","Injetável",False,"Endoparasiticida","Tópica"
"Bovino","Abamectina - Abamectina Allvet Injetável","Solução Injetável","mL","Injetável",False,"Endoparasiticida","SC"
"Bovino","Abamectina - Abamectina Allvet Pour On","Solução Tópica (Pour-On)","L","Pour-On",False,"Endoparasiticida","Tópica"
"Bovino","Abamectina - Abamectina Allvet Pour On","Solução Tópica (Pour-On)","L","Pour-On",False,"Endoparasiticida","SC"
"Bovino","Abamectina - Abamectina Calbos®","Solução Injetável","mL","",False,"Endoparasiticida","SC"
"Bovino","Abamectina - Abamectina Calbos®","Solução Injetável","mL","",False,"Endoparasiticida","Tópica"
"Bovino","Abamectina - Abanox Injetável","Solução Injetável","mL","Injetável",False,"Endoparasiticida","SC"
"Bovino","Abamectina - Abanox Injetável","Solução Injetável","mL","Injetável",False,"Endoparasiticida","Tópica"
"Bovino","Abamectina - Abanox Pour On","Solução Tópica (Pour-On)","mL","Pour-On",False,"Endoparasiticida","SC"
"Bovino","Abamectina - Abanox Pour On","Solução Tópica (Pour-On)","mL","Pour-On",False,"Endoparasiticida","Tópica"
"Bovino","Abamectina - Abathor","Solução Injetável","mL","",False,"Endoparasiticida","SC"
"Bovino","Abamectina - Abathor","Solução Injetável","mL","",False,"Endoparasiticida","Tópica"
"Bovino","Abamectina - Animax Duo","Solução Injetável","mL","",False,"Endoparasiticida","SC"
"Bovino","Abamectina - Animax Duo","Solução Injetável","mL","",False,"Endoparasiticida","Tópica"
"Bovino","Abamectina - Animax Gel","Gel","g","",False,"Endoparasiticida","Tópica"
