id	nome	categoria	unidade
1	Ácido Aspártico	Aminoácido	g
2	Ácido Glutâmico	Aminoácido	g
3	Alanina	Aminoácido	g
4	Arginina	Aminoácido	g
5	Cisteína	Aminoácido	g
6	Fenilalanina	Aminoácido	mg
7	Glicina	Aminoácido	g
8	Histidina	Aminoácido	mg
9	Isoleucina	Aminoácido	g
10	Leucina	Aminoácido	g
11	Lisina	Aminoácido	g
12	Metionina	Aminoácido	g
13	Prolina	Aminoácido	g
14	Serina	Aminoácido	mg
15	Tirosina	Aminoácido	mg
16	Treonina	Aminoácido	g
17	Triptofano	Aminoácido	mg
18	Valina	Aminoácido	g
19	Taurina	Aminoácido	g
20	Carnitina	Aminoácido	mg
21	Cálcio	Mineral	g
22	Fósforo	Mineral	g
23	Magnésio	Mineral	g
24	Sódio	Mineral	g
25	Potássio	Mineral	g
26	Cloro	Mineral	g
27	Enxofre	Mineral	g
28	Ferro	Mineral	mg
29	Cobre	Mineral	mg
30	Zinco	Mineral	mg
31	Manganês	Mineral	mg
32	Selênio	Mineral	mg
33	Iodo	Mineral	mg
34	Cobalto	Mineral	mg
35	Cromo	Mineral	mg
36	Vitamina A	Vitamina	UI
37	Vitamina B1	Vitamina	mg
38	Vitamina B2	Vitamina	mg
39	Vitamina B3	Vitamina	mg
40	Vitamina B5	Vitamina	mg
41	Vitamina B6	Vitamina	mg
42	Vitamina B12	Vitamina	mcg
43	Vitamina C	Vitamina	mg
44	Vitamina D3	Vitamina	UI
45	Vitamina E	Vitamina	UI
46	Ácido Fólico	Vitamina	mg
47	Ácido Nicotínico	Vitamina	mg
48	Biotina	Vitamina	mg
49	Colina	Vitamina	mg
50	Pantotenato de Cálcio	Vitamina	mg
51	Ácido Linolênico (Ômega 3)	Ácido Graxo	mg
52	Ácido Linoleico (Ômega 6)	Ácido Graxo	mg
53	Proteína Bruta	Macronutriente	g
54	Extrato Etéreo	Macronutriente	g
55	Energia Digestível	Energia	Mcal
