alimento_id,nutriente_id,valor_por_grama
2,4,0.02600000
2,6,0.00000638
2,8,0.00000900
2,9,0.01762500
2,10,0.02225000
2,11,0.09800000
2,23,0.04500000
2,12,0.05200000
2,16,0.01425000
2,17,0.00000475
2,18,0.01762500
2,45,4.50000000
2,53,0.38000000
3,21,0.16000000
3,34,0.00002000
3,29,0.00032000
3,35,0.00006000
3,27,0.01200000
3,28,0.00080000
3,22,0.08000000
3,33,0.00002000
3,23,0.00800000
3,31,0.00080000
3,32,0.00000080
3,24,0.12000000
3,36,110.00000000
3,44,30.00000000
3,45,0.50000000
3,30,0.00096000
3,25,0.01500000
1,48,0.00000070
1,21,0.01300000
1,34,0.00000060
1,29,0.00002800
1,35,0.00000030
1,28,0.00009000
1,22,0.00600000
1,33,0.00000060
1,20,0.00010000
1,11,0.00530000
1,31,0.00008400
1,12,0.00240000
1,32,0.00000050
1,24,0.00350000
1,16,0.00480000
1,36,10.00000000
1,37,0.00000620
1,39,0.00001688
1,42,0.00000002
1,38,0.00000780
1,40,0.00001120
1,41,0.00000280
1,43,0.00000007
1,44,1.50000000
1,45,0.21500000
1,30,0.00009900
1,53,0.14000000
1,54,0.07000000
6,1,0.00900000
6,46,0.00000060
6,2,0.01200000
6,47,0.00002000
6,3,0.00500000
6,4,0.01200000
6,21,0.01000000
6,5,0.00060000
6,34,0.00000020
6,29,0.00001000
6,49,0.00020000
6,35,0.00000005
6,27,0.00200000
6,6,0.00000900
6,28,0.00010000
6,22,0.00150000
6,7,0.00400000
6,8,0.00000500
6,33,0.00000005
6,9,0.00800000
6,10,0.01200000
6,11,0.01000000
6,23,0.00200000
6,31,0.00002000
6,12,0.00300000
6,13,0.00300000
6,32,0.00000005
6,24,0.00010000
6,16,0.00800000
6,17,0.00000200
6,18,0.00900000
6,36,9.00000000
6,44,0.25000000
6,45,0.07500000
6,30,0.00002000
6,53,0.18000000
6,25,0.03000000
6,26,0.00200000
5,4,0.00200000
5,21,0.00300000
5,6,0.00000160
5,22,0.00120000
5,8,0.00000100
5,9,0.00140000
5,10,0.00240000
5,11,0.00160000
5,23,0.00060000
5,12,0.00060000
5,32,0.00000004
5,16,0.00140000
5,17,0.00000040
5,18,0.00160000
5,36,2.00000000
5,45,0.02000000
5,30,0.00001200
5,53,0.10000000
9,48,0.00000070
9,5,0.01400000
9,34,0.00000020
9,29,0.00002250
9,28,0.00008100
9,22,0.00600000
9,33,0.00000020
9,11,0.00400000
9,31,0.00004500
9,32,0.00000027
9,24,0.00250000
9,36,9.00000000
9,37,0.00000250
9,42,0.00000001
9,38,0.00000400
9,41,0.00000100
9,44,0.60000000
9,45,0.18000000
9,30,0.00009900
9,53,0.12000000
