id	nutriente_id	peso	tipo_exercicio	valor_exigido
1	53	500	Exercício Leve	699.0000
2	11	500	Exercício Leve	30.1000
3	21	500	Exercício Leve	30.0000
4	22	500	Exercício Leve	18.0000
5	23	500	Exercício Leve	9.5000
6	25	500	Exercício Leve	28.5000
7	26	500	Exercício Leve	46.6000
8	27	500	Exercício Leve	15.0000
9	34	500	Exercício Leve	0.5000
10	29	500	Exercício Leve	100.0000
11	33	500	Exercício Leve	3.5000
12	28	500	Exercício Leve	400.0000
13	31	500	Exercício Leve	400.0000
14	32	500	Exercício Leve	1.0000
15	30	500	Exercício Leve	400.0000
16	53	500	Exercício Moderado	768.0000
17	11	500	Exercício Moderado	33.0000
18	21	500	Exercício Moderado	35.0000
19	22	500	Exercício Moderado	21.0000
20	23	500	Exercício Moderado	11.5000
21	25	500	Exercício Moderado	32.0000
22	26	500	Exercício Moderado	50.0000
23	27	500	Exercício Moderado	16.9000
24	34	500	Exercício Moderado	0.6000
25	29	500	Exercício Moderado	125.0000
26	33	500	Exercício Moderado	4.0000
27	28	500	Exercício Moderado	450.0000
28	31	500	Exercício Moderado	450.0000
29	32	500	Exercício Moderado	1.1300
30	30	500	Exercício Moderado	450.0000
31	53	500	Exercício Pesado	862.0000
32	11	500	Exercício Pesado	37.1000
33	21	500	Exercício Pesado	40.0000
34	22	500	Exercício Pesado	29.0000
35	23	500	Exercício Pesado	15.0000
36	25	500	Exercício Pesado	39.0000
37	26	500	Exercício Pesado	50.0000
38	27	500	Exercício Pesado	66.5000
39	34	500	Exercício Pesado	0.6000
40	29	500	Exercício Pesado	125.0000
41	33	500	Exercício Pesado	4.4000
42	28	500	Exercício Pesado	500.0000
43	31	500	Exercício Pesado	500.0000
44	32	500	Exercício Pesado	1.2500
45	30	500	Exercício Pesado	500.0000
46	53	500	Exercício Muito Pesado	1004.0000
47	11	500	Exercício Muito Pesado	43.2000
48	21	500	Exercício Muito Pesado	40.0000
49	22	500	Exercício Muito Pesado	29.0000
50	23	500	Exercício Muito Pesado	15.0000
51	25	500	Exercício Muito Pesado	53.0000
52	26	500	Exercício Muito Pesado	50.0000
53	27	500	Exercício Muito Pesado	93.0000
54	34	500	Exercício Muito Pesado	0.6000
55	29	500	Exercício Muito Pesado	125.0000
56	33	500	Exercício Muito Pesado	4.4000
57	28	500	Exercício Muito Pesado	500.0000
58	31	500	Exercício Muito Pesado	500.0000
59	32	500	Exercício Muito Pesado	1.2500
60	30	500	Exercício Muito Pesado	500.0000
61	1	500	Exercício Leve	27.0000
62	46	500	Exercício Leve	12.0000
63	2	500	Exercício Leve	45.0000
64	47	500	Exercício Leve	27.0000
65	51	500	Exercício Leve	15.0000
66	52	500	Exercício Leve	54.0000
67	3	500	Exercício Leve	24.0000
