nome;cnpj;cep;endereco;telefone;tipoLocalizacao;_cnaePrincipal;_cnaeMatch;_uf;_municipio;_situacao;_razaoSocial
HBA HARAS;61.762.452/0001-03;13909-899;SITIO NOSSA SENHORA APARECIDA II, nº S/N, DA BARRA - AMPARO/SP;(11) 98895823;HARAS;0152102;0152102;SP;AMPARO;02;HARAS BEM AVENTURANCAS LTDA
AGRO PINHEIRO CRIACOES;47.686.460/0001-89;45614-899;RUA AREA RURAL, nº 166, ROCA DO POVO, AREA RURAL DE ITABUNA - ITABUNA/BA;(73) 81451821;HARAS;0152102;0152102;BA;ITABUNA;02;AGRO PINHEIRO LTDA
RODRIGO DE PROENCA;15.018.694/0002-42;18185-000;SITIO QUERENCIA AMADA, nº S/N, BAIRRO DO TURVINHO - PILAR DO SUL/SP;(15) 96181261;HARAS;0152102;0152102;SP;PILAR DO SUL;02;RODRIGO DE PROENCA
NUCLEO DE CRIADORES DE CAVALOS CRIOULOS DE MANOEL VIANA- NCCCMV;47.726.882/0001-30;97640-000;PARQUE PARQUE DE EXPOSICOES DE MANOEL VIANA, nº SN, SEDE - MANOEL VIANA/RS;(55) 32561329;HARAS;0152102;0152102;RS;MANOEL VIANA;02;NUCLEO DE CRIADORES DE CAVALOS CRIOULOS DE MANOEL VIANA- NCCCMV
GABRIEL TAMER PALADINI;58.944.297/0001-23;18549-899;AREA RURAL, nº SN, ROD MARECHAL RONDON PORTO FELIZ KM 145, AREA RURAL DE PORTO FELIZ - PORTO FELIZ/SP;(11) 33978415;HARAS;0152102;0152102;SP;PORTO FELIZ;02;GABRIEL TAMER PALADINI
CENTRO HIPICO HIPPOCAMPUS;60.365.729/0001-93;28957-410;RUA AVINEIRA, nº 01, LOTE 01 QUADRAQ, RASA - ARMACAO DOS BUZIOS/RJ;(61) 82107900;CENTRO_TREINAMENTO;8591100;8591100;RJ;ARMACAO DOS BUZIOS;02;CENTRO HIPICO HIPPOCAMPUS LTDA
ABDO E AGROPECUARIA;62.422.570/0001-27;37220-000;FAZENDA FAZENDA DOIS JOSE-S, nº RURAL, BABILONIA - BOM SUCESSO/MG;(35) 99939301;HARAS;0152102;0152102;MG;BOM SUCESSO;02;ABDO E ALVARENGA AGROPECUARIA LTDA
WENIFFER RAFAELA DOS SANTOS SILVA;62.621.134/0001-87;12970-000;ESTRADA MUNICIPAL PRC377, nº S/N, KM 230216S 461447, DOS CARAS - PIRACAIA/SP;(11) 40131153;HARAS;0152102;0152102;SP;PIRACAIA;02;WENIFFER RAFAELA DOS SANTOS SILVA
AGROPECUARIA COSTA VERDE MAR;62.845.924/0001-46;88349-899;RUA PAULO DALLAGO, nº 77, BRACO - CAMBORIU/SC;(47) 97264086;HARAS;0152102;0152102;SC;CAMBORIU;02;AGROPECUARIA COSTA VERDE MAR LTDA
HIPICA RIVIERA;62.890.738/0001-29;11261-594;AVENIDA DE SAO LOURENCO, nº 70, RIVIERA DE SAO LOURENCO - BERTIOGA/SP;(13) 96037770;CLUBE;9312300;9312300;SP;BERTIOGA;02;SOCIEDADE HIPICA RIVIERA DE SAO LOURENCO
RANCHO LH;63.108.996/0001-73;78750-899;RODOVIA MT 130 KM 03 AESQUERDA + 1 KM, nº SN, ZONA RURAL - RONDONOPOLIS/MT;(66) 30230799;HARAS;0152102;0152102;MT;RONDONOPOLIS;02;RANCHO LH LTDA
MHARASSEN SPORTS E MIDIA;63.337.146/0001-47;81070-060;RUA CALIXTO RAZOLINI, nº 310, APT 204 ANDAR 02 BLOCO BONANCA ED, PORTÃO - CURITIBA/PR;(41) 99722304;CENTRO_TREINAMENTO;8591100;8591100;PR;CURITIBA;02;MHARASSEN SPORTS E MIDIA LTDA
3T EVENTOS EQUESTRES;63.460.808/0001-71;78665-000;RUA MANGABEIRA, nº SN, MAE MARIA - ALTO BOA VISTA/MT;(66) 84430802;CLUBE_HIPICO;9319101;9319101;MT;ALTO BOA VISTA;02;3T EVENTOS EQUESTRES LTDA
MARIA ELISA SIMOES DE MORAES;63.513.200/0001-68;13324-330;AVENIDA APALOOSA, nº 901, SITIO BOM JESUS, HARAS PAINEIRAS - SALTO/SP;(19) 96046117;HARAS;0152102;0152102;SP;SALTO;02;MARIA ELISA SIMOES DE MORAES
LILYAN DE ABREU;63.561.964/0001-29;18264-899;ESTRADA RANCHO DO BUDA, nº S/N, DOS FLORENTINOS - PORANGABA/SP;(11) 66020898;HARAS;0152102;0152102;SP;PORANGABA;02;LILYAN DE ABREU
CLUBE HIPICO BOA ESPERANCA;63.800.543/0001-03;27164-290;RUA C, nº 565, SAO LUIZ DA BARRA (CALIFORNIA DA BARRA) - BARRA DO PIRAI/RJ;(24) 92171252;CLUBE;9312300;9312300;RJ;BARRA DO PIRAI;02;CLUBE HIPICO BOA ESPERANCA
CAMIMESSIAS EQUESTRIAN;63.866.208/0001-08;06710-805;RUA ANITA MALFATTI, nº 164, BLOCO 01 GRANJA VIANA QUADRAQ/0 LOTE 22 L HORIZONTAL PARK, HORIZONTAL PARK - COTIA/SP;(11) 20847760;CENTRO_TREINAMENTO;8591100;8591100;SP;COTIA;02;CAMIMESSIAS EQUESTRIAN SERVICOS E COMERCIO LTDA
FABIOLA DA MOTTA CEZAR FERREIRA LAGUNA;64.112.349/0001-06;18285-001;RUA DINARTE CAMARGO, nº S/N, CASA, CENTRO - CESARIO LANGE/SP;(11) 31055085;HARAS;0152102;0152102;SP;CESARIO LANGE;02;FABIOLA DA MOTTA CEZAR FERREIRA LAGUNA
HARAS GMIX;64.766.524/0001-70;54590-000;RUA VC NOVE SETOR DOIS, nº S/N, ENSEADA DOS CORAIS - CABO DE SANTO AGOSTINHO/PE;(81) 98924801;HARAS;0152102;0152102;PE;CABO DE SANTO AGOSTINHO;02;A DA SILVA B MARTINS HARAS
DANI MELLO REPRODUCAO EQUINA;64.898.718/0001-20;55645-899;SITIO BREJO DA VILA, nº S/N, AREA RURAL - GRAVATA/PE;(81) 81661205;HOTEL_ANIMAL;0162803;0162803;PE;GRAVATA;02;DANI MELLO REPRODUCAO EQUINA LTDA
CT CLAUDIO SILVA;65.024.950/0001-00;18559-899;AREA RURAL, nº S/Nº, KM 107, AREA RURAL DE BOITUVA - BOITUVA/SP;(11) 73516138;HARAS;0152102;0152102;SP;BOITUVA;02;CLAUDIO PEREIRA DA SILVA TREINAMENTO
HARAS BORDALO;65.159.011/0001-64;68911-474;RAMAL DO ALEMAO, nº 1030, MURUCI (FAZENDINHA) - MACAPA/AP;(96) 81245557;HARAS;0152102;0152102;AP;MACAPA;02;HARAS BORDALO LTDA
RS EQUESTRIAN;65.175.901/0001-60;13487-136;RUA JOAO CIARROCHI, nº 280, BLOCO 52 APTO 11, JARDIM OLGA VERONI - LIMEIRA/SP;(19) 91037146;CLUBE_HIPICO;9319199;9319199;SP;LIMEIRA;02;RAFAEL DA SILVA PEREIRA
LEONARDO LUZZI EQUESTRIAN ACADEMY LTDA;65.288.668/0001-21;03155-100;AVENIDA PROF LUIZ IGNACIO ANHAIA MELLO, nº 2597, APT 94A, VILA PRUDENTE - SAO PAULO/SP;(11) 33952434;HOTEL_ANIMAL;0162803;0162803;SP;SAO PAULO;02;LEONARDO LUZZI EQUESTRIAN ACADEMY LTDA
MURY AGROPECUARIA LTDA;65.382.105/0001-06;28300-000;ESTRADA ITAPERUNA ITALVA, nº S/N, KM 54 ANEXO FAZENDA BOA VISTA, 2 DISTRITO - ITAPERUNA/RJ;(22) 38221535;HARAS;0152102;0152102;RJ;ITAPERUNA;02;MURY AGROPECUARIA LTDA
CABANHA NOSSA SENHORA DO EQUILIBRIO - CT SANTA CRUZ LTDA;65.456.093/0001-09;83535-000;RUA ANGELO BENATO, nº 163, CAMPO NOVO - CAMPO MAGRO/PR;(41) 30113068;HARAS;0152102;0152102;PR;CAMPO MAGRO;02;CABANHA NOSSA SENHORA DO EQUILIBRIO - CT SANTA CRUZ LTDA
HARAS BV3;65.722.873/0001-53;28682-440;RUA SAO JOAO, nº S/N, ESTRADA SAO JOAO SERRA DE BERTHOLDO SANTA DE JAPUIBA, PEDREIRA - CACHOEIRAS DE MACACU/RJ;(21) 26066140;HARAS;0152102;0152102;RJ;CACHOEIRAS DE MACACU;02;BV3 AGROPECUARIA LTDA
HARAS MVM;65.776.472/0001-86;08850-010;RUA MARIA DE ALMEIDA VASQUES NEO, nº S/N, SABAUNA - MOGI DAS CRUZES/SP;(11) 47998499;HARAS;0152102;0152102;SP;MOGI DAS CRUZES;02;HARAS MVM LTDA
HFP E TN RANCH;65.815.025/0001-99;59626-241;RUA MANOEL DELFINO, nº 64, RINCÃO - MOSSORO/RN;(84) 99569818;HARAS;0152102;0152102;RN;MOSSORO;02;HFP E TN RANCH LTDA
ALIANA BATISTA;66.190.873/0001-12;12993-899;AREA RURAL, nº S/N, AREA RURAL DE PEDRA BELA - PEDRA BELA/SP;(18) 97840546;HARAS;0152102;0152102;SP;PEDRA BELA;02;ALIANA BATISTA
GISELE SAITO;66.256.170/0001-40;13543-899;AREA DIVISA COM SITIO PLANALTO, nº SN, BAIRRO DA FAZENDA BOM JESUS - CORUMBATAI/SP;(19) 99389174;HARAS;0152102;0152102;SP;CORUMBATAI;02;GISELE SAITO
